"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"203","13","512","0","235","866","pre-booking","","half-yearly","5000","500","0","0","204000","113000","209500","96500","2018-06-21","1"
"204","13","512","0","243","869","pre-booking","","half-yearly","5000","500","0","0","204000","209500","209500","0","2018-06-21","1"
"205","13","512","0","232","876","pre-booking","","half-yearly","5000","500","0","0","204000","209500","209500","0","2018-06-21","1"
"206","13","512","0","1084","892","instant-booking","","half-yearly","5000","500","0","0","204000","204000","209500","5500","2018-06-21","1"
"207","13","512","0","1085","893","instant-booking","","half-yearly","5000","500","0","0","204000","204000","209500","5500","2018-06-21","1"
"208","13","512","0","333","904","pre-booking","","half-yearly","5000","500","0","0","204000","209500","209500","0","2018-06-21","0"
"209","57","950","1033","1044","2423","pre-booking","","monthly","5500","500","13250","0","0","6000","6000","0","2018-06-21","0"
"210","50","651","0","1087","2154","instant-booking","","monthly","5000","500","0","0","0","5500","5500","0","2018-06-21","1"
"211","50","651","0","1088","2152","instant-booking","","monthly","5000","0","0","0","0","5000","5000","0","2018-06-21","1"
"212","72","611","0","1089","2966","","","quarterly","5000","500","0","6000","132000","132000","137500","5500","2018-06-21","1"
"213","47","647","0","1090","2055","pre-booking","","monthly","2000","0","0","0","84000","86000","86000","0","2018-06-21","0"
"214","72","611","0","1091","2923","instant-booking","","quarterly","5000","500","0","0","168000","168000","173500","5500","2018-06-22","1"
"215","29","647","648","1094","3784","instant-booking","","monthly","0","500","5800","0","69600","70100","70100","0","2018-06-22","1"
"216","29","647","648","1095","3786","instant-booking","","","0","0","4000","0","69600","69600","69600","0","2018-06-22","1"
"217","29","647","648","1096","3785","","","monthly","0","500","5800 ","0","69600","70100","70100","0","2018-06-22","0"
"218","29","647","648","1096","3785","","","monthly","0","500","5800 ","0","69600","70100","70100","0","2018-06-22","0"
"219","29","647","648","1097","3787","instant-booking","","monthly","0","500 ","5500 ","0","66000","60500","66500","6000","2018-06-22","1"
"220","29","647","648","1098","3788","instant-booking","","monthly","0","500","5500 ","0","66000","60500","66500","6000","2018-06-22","1"
"221","29","647","648","1099","3791","pre-booking","","monthly","2000 ","0","0","0","69600","69600","71600","2000","2018-06-22","1"
"222","29","647","648","1100","3794","pre-booking","","monthly","","1000","5800 ","0","69600","57750","70600","12850","2018-06-22","1"
"223","29","647","648","1101","3793","instant-booking","","monthly","","1000 ","6500","0","69600","56600","70600","14000","2018-06-22","1"
"224","29","647","648","1105","3795","instant-booking","","monthly","0","","0","0","69600","69600","69600","0","2018-06-22","1"
"225","29","647","648","1106","3796","pre-booking","","monthly","0","500 ","5500","0","66000","61000","66500","5500","2018-06-22","1"
"226","29","647","648","1109","3797","instant-booking","","monthly","0","1000","5800","0","66000","59950","67000","7050","2018-06-22","1"
"227","38","58","0","1093","1805","pre-booking","","half-yearly","5000","500","0","0","204000","168000","209500","41500","2018-06-22","1"
"228","41","58","0","1104","1925","instant-booking","","half-yearly","5000","500","0","-24000","240000","86400","221500","135100","2018-06-22","1"
"229","40","58","0","1110","1869","instant-booking","","half-yearly","5000","500","0","0","192000","197500","197500","0","2018-06-22","1"
"230","40","58","0","1108","1870","instant-booking","","half-yearly","5000","500","0","0","192000","162000","197500","35500","2018-06-22","1"
"231","40","58","0","1107","1871","instant-booking","","half-yearly","5000","500","0","0","204000","209500","209500","0","2018-06-22","1"
"232","29","647","648","1111","3800","instant-booking","","monthly","0","400 ","5800 ","0","69600","58000","70000","12000","2018-06-22","1"
"233","60","644","720","728","2656","instant-booking","","monthly","0","0","0","0","0","0","0","0","2018-06-22","0"
"234","60","644","720","731","2650","instant-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"235","60","644","720","732","2672","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"236","60","644","720","734","2641","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"237","60","644","720","735","2644","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"238","60","644","720","736","2646","instant-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"239","60","644","720","738","2676","instant-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"240","60","644","720","739","2675","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"241","60","644","720","740","2659","instant-booking","","","0","0","0","0","0","0","0","0","2018-06-22","0"
"242","60","644","720","742","2679","","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"243","60","644","720","744","2677","instant-booking","","","0","0","0","0","0","0","0","0","2018-06-22","0"
"244","60","644","720","746","2627","instant-booking","","monthly","0","0","7500","0","0","0","0","0","2018-07-05","0"
"245","60","644","720","747","2652","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"246","60","644","720","748","2662","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"247","60","644","720","751","2625","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
"248","60","644","720","753","2633","pre-booking","","","0","0","0","0","0","0","0","0","2018-06-22","1"
